venue_name,city,venue_type,genres_booked,contact_name,contact_phone,contact_email,website,notes
Echoes Nightclub,New York,nightclub,"Hip-Hop,Afrobeats,R&B",Marcus Reid,+12125550101,booking@echoesnyc.com,https://echoesnyc.com,Capacity 800. Known for late-night hip-hop and Afrobeats nights. Frequently books guest DJs on Friday and Saturday. Strong South Asian and West African crowd on weekends.
The Loft,New York,bar,"House,Techno,Indie",Jamie Osei,+12125550102,events@theloftnyc.com,https://theloftnyc.com,Capacity 200. Intimate bar with a dedicated DJ booth. Books local DJs Thursday through Saturday. Prefers underground house and techno but open to crossover acts.
Bollywood Basement,New York,nightclub,"Bollywood,Bhangra,Desi Pop",Priya Kapoor,+12125550103,priya@bollywoodbasement.com,https://bollywoodbasement.com,Capacity 400. Exclusively Desi music venue. Hosts themed nights — Bollywood Fridays and Bhangra Saturdays. Looking for DJs who can blend classic Bollywood with current Punjabi hits.
Rhythm & Rye,Chicago,bar,"Soul,Funk,Hip-Hop",Derek Thomas,+13125550201,derek@rhythmandrye.com,https://rhythmandrye.com,Capacity 150. Upscale cocktail bar that runs DJ nights on weekends. Prefers soulful sets — think neo-soul into old school hip-hop. Crowd is 25-40 professionals.
Club Noir,Chicago,nightclub,"Techno,House,Drum and Bass",Sandra Wolfe,+13125550202,booking@clubnoir.com,https://clubnoir.com,Capacity 600. Underground club in Wicker Park. Runs electronic music nights exclusively. Has a strong local following for techno and house. Guest DJ slots available monthly.
The Garden Terrace,Chicago,wedding,"Top 40,R&B,Bollywood",Anita Sharma,+13125550203,events@gardenteace.com,https://gardenterracechi.com,Upscale wedding and events venue. Books DJs for South Asian weddings regularly. Expects DJs who can handle mixed generational crowds — Bollywood classics to current Top 40.
Frequency LA,Los Angeles,nightclub,"Afrobeats,Dancehall,Hip-Hop",Kofi Mensah,+13235550301,kofi@frequencyla.com,https://frequencyla.com,Capacity 700. One of LA's top Afrobeats venues. Hosts monthly Afrobeats vs Dancehall nights. Actively seeking DJs with deep Afrobeats knowledge and crowd interaction skills.
Sunset Sessions,Los Angeles,bar,"Reggaeton,Latin,Hip-Hop",Maria Vega,+13235550302,maria@sunsetsessionsla.com,https://sunsetsessionsla.com,Capacity 250. Rooftop bar in Silver Lake. Runs Friday night DJ sets. Crowd is heavily Latin — prefers reggaeton and Latin trap but appreciates crossover with hip-hop.
The Warehouse,Los Angeles,nightclub,"House,Techno,Electronic",Ryan Park,+13235550303,booking@thewarehousela.com,https://thewarehousela.com,Capacity 1200. Large warehouse venue in Downtown LA. Hosts major electronic music events. Books both local and touring DJs. Looking for acts that can hold a crowd for 3-4 hour sets.
Masala Nights,Los Angeles,nightclub,"Bollywood,Afrobeats,Hip-Hop",Deepak Nair,+13235550304,deepak@masalanightsla.com,https://masalanightsla.com,Capacity 350. Fusion club night running every last Friday of the month. Specialises in blending South Asian and African diaspora music. Perfect for DJs who can blend Bollywood with Afrobeats and hip-hop seamlessly.
